contact_id,contact_name,email,phone,designation,customer_id
1,Rahul Sharma,contact1@company.com,9846913810,CFO,115
2,Priya Patel,contact2@company.com,9883197857,CTO,303
3,Ankit Sharma,contact3@company.com,9813999315,CTO,112
4,Sneha Kapoor,contact4@company.com,9890801586,CTO,288
5,Sneha Kapoor,contact5@company.com,9866306997,CFO,230
6,Pooja Mehta,contact6@company.com,9810872248,Operations Head,413
7,Priya Nair,contact7@company.com,9855667651,IT Head,80
8,Sneha Verma,contact8@company.com,9823718431,CTO,195
9,Rahul Verma,contact9@company.com,9856164955,Director,136
10,Amit Reddy,contact10@company.com,9881971316,CTO,499
11,Ankit Patel,contact11@company.com,9884093639,IT Head,425
12,Pooja Verma,contact12@company.com,9887490893,CFO,361
13,Rahul Sharma,contact13@company.com,9898753260,CFO,396
14,Karan Patel,contact14@company.com,9841244663,Operations Head,52
15,Ankit Mehta,contact15@company.com,9870855700,VP Engineering,428
16,Riya Singh,contact16@company.com,9859684848,IT Head,108
17,Karan Patel,contact17@company.com,9891756179,VP Engineering,88
18,Arjun Gupta,contact18@company.com,9831931511,Procurement Manager,195
19,Karan Kapoor,contact19@company.com,9839476249,VP Engineering,167
20,Amit Gupta,contact20@company.com,9814308421,Operations Head,162
21,Ankit Mehta,contact21@company.com,9818883684,CFO,468
22,Pooja Verma,contact22@company.com,9838538251,VP Engineering,256
23,Ankit Reddy,contact23@company.com,9829175900,IT Head,72
24,Sneha Kapoor,contact24@company.com,9882340307,IT Head,383
25,Pooja Nair,contact25@company.com,9888320463,Procurement Manager,186
26,Sneha Singh,contact26@company.com,9878387461,Procurement Manager,47
27,Amit Patel,contact27@company.com,9830514014,VP Engineering,82
28,Ankit Joshi,contact28@company.com,9818526544,Procurement Manager,196
29,Pooja Reddy,contact29@company.com,9881016525,IT Head,498
30,Arjun Sharma,contact30@company.com,9825374874,VP Engineering,454
31,Arjun Mehta,contact31@company.com,9896028436,IT Head,58
32,Karan Nair,contact32@company.com,9831227574,Procurement Manager,2
33,Karan Kapoor,contact33@company.com,9833978249,Director,468
34,Rahul Mehta,contact34@company.com,9895758349,Director,312
35,Sneha Singh,contact35@company.com,9860185867,Operations Head,83
36,Arjun Kapoor,contact36@company.com,9810076758,Director,166
37,Neha Sharma,contact37@company.com,9825014631,IT Head,450
38,Karan Gupta,contact38@company.com,9817774584,CFO,450
39,Pooja Patel,contact39@company.com,9821496211,VP Engineering,249
40,Rahul Kapoor,contact40@company.com,9826879290,CFO,338
41,Neha Kapoor,contact41@company.com,9832162965,IT Head,271
42,Pooja Nair,contact42@company.com,9838427073,Director,387
43,Sneha Mehta,contact43@company.com,9863551839,VP Engineering,333
44,Riya Reddy,contact44@company.com,9879467853,Procurement Manager,62
45,Sneha Gupta,contact45@company.com,9818593410,IT Head,11
46,Pooja Kapoor,contact46@company.com,9840885476,Director,113
47,Amit Patel,contact47@company.com,9894705205,CTO,118
48,Rahul Sharma,contact48@company.com,9854349361,CTO,264
49,Sneha Mehta,contact49@company.com,9899788677,Procurement Manager,110
50,Arjun Singh,contact50@company.com,9886644106,Director,243
51,Sneha Reddy,contact51@company.com,9864634663,CFO,49
52,Rahul Nair,contact52@company.com,9857553014,Procurement Manager,211
53,Neha Sharma,contact53@company.com,9897705310,VP Engineering,51
54,Amit Nair,contact54@company.com,9855540424,Operations Head,442
55,Rahul Gupta,contact55@company.com,9835714784,CFO,275
56,Neha Singh,contact56@company.com,9866623995,CFO,143
57,Neha Gupta,contact57@company.com,9820117988,Procurement Manager,414
58,Arjun Patel,contact58@company.com,9816789850,VP Engineering,277
59,Amit Patel,contact59@company.com,9841726318,CFO,209
60,Neha Reddy,contact60@company.com,9838688676,Operations Head,206
61,Amit Singh,contact61@company.com,9860864911,CTO,200
62,Karan Reddy,contact62@company.com,9848285503,Procurement Manager,357
63,Arjun Reddy,contact63@company.com,9830776478,CFO,152
